sshleifer/distilbart-cnn-12-6,mrm8488/bert-small2bert-small-finetuned-cnn_daily_mail-summarization,microsoft/prophetnet-large-uncased-cnndm,t5-small,facebook/bart-large-cnn,google/pegasus-cnn_dailymail
0.7,0.6,0.8,"0. The summary repeats the information about Julia Vakulenko facing Lindsay Davenport in the final at the Bell Challenge.
1. The summary mentions Julia Vakulenko's victory over Julie Ditty, but it does not repeat any specific details about the match.
1. The summary mentions Julia Vakulenko's previous world ranking, but it does not repeat any specific details about it.",0.83,0.8
0.8,0.875,0.8,0.75,0.9,0.9
"1. Tens of thousands of Congolese refugees fled camps in the Democratic Republic of Congo as rebel troops attacked government forces.
2. The UNHCR reported that the camps were not targeted by the rebels, but some were looted after residents fled.
3. Roads to Goma were crowded with refugees and local residents fleeing the fighting, and the movement was made more difficult by torrential rain.
4. The refugees are in poor health and need shelter, water, and assistance.
5. The Congolese government accused rebel general Laurent Nkunda of staging the attack, but a Nkunda spokesman denied the allegation.",0.6,0,0.75,"- Tens of thousands of Congolese refugees fled camps as rebel troops attacked government forces.
    - U.N. High Commissioner for Refugees said it didn't appear rebels had targeted the camps.
    - Roads to Goma, about 10 miles from the camps, were crowded with refugees.
    - Torrential rain made the movement even more difficult.
    
The summary does a good job of capturing the main points of the article without repeating information. I would score it a 1 for non-redundancy.","1. NEW: Congo rebels blame Rwandan Hutu rebels for attack, report says.
This sentence is non-redundant and provides new information from the article. Score: 1

2. Internally displaced Congolese flee as rebels attack government forces.
This sentence is non-redundant and provides new information from the article. Score: 1

3. Torrential rain makes refugee movement difficult.
This sentence is non-redundant and provides new information from the article. Score: 1

4. U.N. refugee agency: Some 375,000 have been forced from homes in past year.
This sentence is non-redundant and provides new information from the article. Score: 1

Overall score for non-redundancy: 1"
0.8,"1. The U.S. embassy in Baku has closed its doors to the public Monday.
     - This sentence is not redundant and provides new information.

2. The terror plot was unraveled after a weekend raid outside Baku.
     - This sentence is not redundant and provides new information.

3. U.K. officials say there were ""specific and credible threat information"" about the embassy.
     - This sentence is not redundant and provides new information.

4. The United States is working closely with their counterparts in Baku, officials say.
     - This sentence is not redundant and provides new information.
    
Overall, the summary has a score of 1 for non-redundancy as each sentence provides new information without repeating any information from the article.",0.6,"1. The embassy in Baku shuts its doors to the public - 1 (non-redundant)
2. The terror plot was unraveled after a weekend raid outside Baku - 1 (non-redundant)
3. An Azerbaijani army officer seized four assault rifles and 20 hand grenades from his unit - 1 (non-redundant)
4. A suspected member of the radical group resisted arrest and was killed in the sweep - 1 (non-redundant)",0.9,0.8
0.9,"1. interpol appeals for help to identify a man from digitally reconstructed photos showing him sexually abusing underage boys.
2. interpol says the man's face was disguised by digital alteration.
3. interpol has determined the photos were taken in Vietnam and Cambodia.
4. the photos have been on the internet for several years, but investigators have been unable to identify the man.

Score: 1",0.8,0.8,"Summary Score: 0.75

Explanation: 
The summary accurately captures the main points of the article without repeating information. However, it could be improved by including more details about Interpol's global appeal for help and the fact that the photos have been on the internet for several years. Additionally, the summary could be more concise and focused on the key information.",0.8
0.8,0.6,"0. The summary sentence mentions that Reuters was first in Europe with news of President Lincoln's assassination in 1865.
1. The summary sentence mentions that Reuters is the world's largest international multimedia news agency.
2. The summary sentence does not mention any other information from the article.",0.75,"1. Reuters is a global information company providing material tailored for professionals in the financial services, media, and corporate markets.
2. In 1851, Paul Julius Reuter opened an office in London to transmit stock market quotations between London and Paris.
3. Reuters expanded its service to other European countries and eventually included general and economic news from around the world.
4. In 1883, Reuters began using a ""column printer"" to transmit messages to London newspapers and in 1923 pioneered the use of radio to transmit news internationally.
5. Today, Reuters is the world's largest international multimedia news agency, with over 16,900 staff in over 94 countries.
6. More than 90% of Reuters' revenue comes from its financial services business.
7. Reuters supplies news to media organizations and businesses outside the financial services sector, as well as directly to consumers.

Score: 0.875",0.7
"1. NEW: University of South Carolina students killed in massive house fire in Ocean Isle Beach, N.C., official says - 1
2. NEW: Six survivors of fire are USC students, university vice president says - 1
3. Mayor: ""We suffered a terrible tragedy at Ocean Isle this morning"" - 0.5
4. Mayor: House was fully ""engulfed"" in flames around 7 a.m. when fire department arrived - 0.5

The summary does not repeat any information and includes all the key points from the article. However, sentence 3 and 4 are slightly redundant as they both mention the house being engulfed in flames. Therefore, the overall non-redundancy score for the summary is 0.75.",0.5,0.8,0.5,"1. NEW: Six of seven killed attended University of South Carolina.
2. NEW: Six survivors are also USC students, university official says.
3. One person described as ""unaccounted for"" was later confirmed dead.
4. House was fully ""engulfed"" in flames when fire department arrived on scene.

The summary has a score of 1 for non-redundancy.","1. NEW: Six of seven dead attended University of South Carolina, official says.
2. NEW: Six survivors were treated and released from hospital.
3. One person described as ""unaccounted for"" confirmed dead, mayor says.
4. One of 13 people in house was related to owner, mayor says.

Score: 1 (The summary sentences do not repeat any information from the article.)"
0.8,"1. partnership started as single shop on oxford street in 1864. - 1
2. each partner receives same scale of bonus based on a fixed percentage of their wage. - 1
3. chairman sir stuart hampson retired at the end of 2007, his successor is charlie mayfield. - 1
4. the partnership employs approximately 67, 100 people and employs 67, 000 people. - 0.5 (redundant information)

Total score: 3.5 out of 4",0.5,0.8,0.8,0.9
"1. Qualcomm was founded in 1985 by seven communications industry veterans. (1)
2. One of Qualcomm's first products was OmniTRACS, introduced in 1988, which is currently the largest satellite-based commercial mobile system for the transportation industry. (1)
3. More than 130 telecommunications equipment manufacturers worldwide have licensed QUALCOMM's essential CDMA patents. (1)
4. The company has been listed among Fortune's ""100 Best Companies to Work For in America"" for nine years. (1)

Overall score: 1","1. qualcomm's patent portfolio includes approximately 6,100 U.S. patents and patent applications for CDMA.
    - This point is accurately summarized without redundancy.
    Score: 1
    
2. More than 130 telecommunications equipment manufacturers worldwide own its CDMA patents.
    - This point is accurately summarized without redundancy.
    Score: 1
    
3. The company has been listed among Fortune 500's ""100 Best Companies to Work For in America.""
    - This point is accurately summarized without redundancy.
    Score: 1
    
Overall Score: 1",0.9,0.8,"1. Qualcomm was founded in 1985 by seven communications industry veterans. - 1 (This sentence accurately summarizes the information in the article without repeating any information)
2. OmniTRACS is the largest satellite-based commercial mobile system for the transportation industry. - 1 (This sentence accurately summarizes the information in the article without repeating any information)
3. Qualcomm is among the members of the S&P 500 Index, Fortune 500. - 1 (This sentence accurately summarizes the information in the article without repeating any information)
4. The company has been listed among Fortune's ""100 Best Companies to Work For in America"". - 1 (This sentence accurately summarizes the information in the article without repeating any information)

Overall score: 1 (The summary accurately captures the key points of the article without any redundancy)","1. The company was founded in 1985 by seven communications industry veterans.
2. Qualcomm's Annual revenue for 2006 was $7.53 billion, with a net income of $2.47 billion.
3. The company has been listed among Fortune's ""100 Best Companies to Work For in America"".

Score: 1"
"1. AC Milan's Brazilian Kaka named European player of the year - 1
2. The 25-year-old Kaka was a major factor in Milan's triumphant Champions League campaign - 1
3. Manchester United's Cristiano Ronaldo was runner-up with Barcelona's Lionel Messi third - 1
4. Kaka has already won all the game's major prizes, individually and collectively - 1",0.8,0.8,0.75,0.5,0.8
0.8,0.6,"1. The summary only includes two points from the article, which is not comprehensive enough. 
2. The summary does not provide any information about BUPA's international presence or its services in different countries. 
3. The summary does not mention anything about BUPA's health insurance services or its care homes. 
4. The summary does not mention anything about BUPA's initiation of the Nuffield Homes Charitable Trust or its renaming to Nuffield Hospitals. 

Based on these points, I would score the summary a 0.",0.75,"1. BUPA began as The British United Provident Association in 1947.
2. The company has bases on three continents and more than eight million customers.
3. BUPA is a leading healthcare company in the UK, Spain, Australia, Ireland, Hong Kong, Thailand, Malta, and Saudi Arabia.

Score: 1","1. BUPA's biggest business is health insurance in the UK.
2. More than half of the UK's top companies are BUPA customers.
3. BUPA International supplies health cover to expatriates in over 180 countries.

Score: 1"
"- The summary includes the main point that at least 2,000 people in Britain pose a threat due to their support for al Qaeda-inspired terrorism.
- The summary includes the point that terrorists are targeting and radicalizing young, vulnerable people.
- The summary includes the point that there have been 200 terrorist convictions in Britain since September 11 attacks.

Overall, the summary does not include any redundant information and accurately captures the main points of the article. I would score it 1 for non-redundancy.",0.7,0.6,0.75,"- MI5 chief warns that children as young as 15 are becoming involved in terrorism
- 2,000 people in Britain pose a threat to security, potentially double that figure
- 200 terrorist convictions in Britain since 9/11 attacks
- Resources being used to protect against spying
- No decrease in Russian covert intelligence officers operating in Britain","1. Children as young as 15 are involved in terrorist-related activity - 1
2. At least 2,000 people in Britain pose a threat to security - 1
3. Terrorists are ""radicalising, indoctrinating and grooming"" young people - 1"
0.9,0.9,No evaluation possible.,"1. Mauro Camoranesi scores with 13 minutes left to earn Juventus a 1-1 draw with Inter.
2. The defending champions are two points clear of Fiorentina at the top of the table.

Score: 1",0.9,0.75
